transaction_id,account_id,customer_id,type,amount,description,merchant,category,date,status,balance_after,failure_reason
TXN7D9027717B,ACCB19D41F0,CUST000001,debit,-2977.2,Starbucks transaction,Starbucks,groceries,2024-08-28T18:46:35.589136,completed,42144.94,
TXN3045C89CB1,ACCB19D41F0,CUST000001,credit,1234.85,Amazon transaction,Amazon,entertainment,2025-10-28T23:04:58.933421,completed,46356.99,
TXNFABDC63EF0,ACCB19D41F0,CUST000001,debit,-2828.31,Uber transaction,Uber,housing,2025-01-14T21:50:52.877549,completed,42293.83,
TXNF694317758,ACCB19D41F0,CUST000001,credit,1197.24,Netflix transaction,Netflix,salary,2023-05-06T10:25:11.300201,completed,46319.38,
TXN376CD9354E,ACCB19D41F0,CUST000001,debit,-1584.31,Walmart transaction,Walmart,online_shopping,2025-08-26T20:14:25.689815,completed,43537.83,
TXN83A4E8A27A,ACCB19D41F0,CUST000001,credit,4980.5,Walmart transaction,Walmart,entertainment,2025-04-02T05:04:06.863763,completed,50102.64,
TXNBB30C329D0,ACCB19D41F0,CUST000001,debit,-4666.63,Walmart transaction,Walmart,salary,2025-04-21T14:46:28.899256,completed,40455.51,
TXNFA69C89023,ACCB19D41F0,CUST000001,debit,-4169.56,Target transaction,Target,entertainment,2024-01-08T11:48:41.152521,failed,40952.58,insufficient_funds
TXNB2CEF60EC0,ACCB19D41F0,CUST000001,credit,2647.06,Delta Airlines transaction,Delta Airlines,housing,2023-11-18T09:11:00.171076,failed,47769.2,insufficient_funds
TXNF30D66343E,ACCB19D41F0,CUST000001,debit,-4391.24,Target transaction,Target,online_shopping,2023-06-23T04:23:08.823040,completed,40730.9,
TXN7D5DA63F6F,ACCB19D41F0,CUST000001,credit,781.46,Target transaction,Target,entertainment,2023-01-04T13:17:12.865752,completed,45903.6,
TXN5A852BD128,ACCB19D41F0,CUST000001,debit,-3439.05,Target transaction,Target,entertainment,2025-03-01T16:34:45.736408,completed,41683.09,
TXN801C829BAA,ACCB19D41F0,CUST000001,credit,4231.29,Walmart transaction,Walmart,travel,2025-02-27T01:12:28.721960,completed,49353.43,
TXN5A55117E72,ACCB19D41F0,CUST000001,debit,-22.71,Apple transaction,Apple,travel,2025-11-30T05:13:09.257904,failed,45099.43,insufficient_funds
TXN7BBE58CD33,ACCB19D41F0,CUST000001,debit,-2211.97,Netflix transaction,Netflix,entertainment,2025-04-14T08:21:59.727918,completed,42910.17,
TXNA05DA1C33E,ACCB19D41F0,CUST000001,debit,-4416.12,Apple transaction,Apple,entertainment,2024-07-09T21:52:27.870966,completed,40706.02,
TXNA2FA4CB710,ACCB19D41F0,CUST000001,debit,-2764.86,Netflix transaction,Netflix,salary,2023-04-27T12:28:35.123245,completed,42357.28,
TXN812D360232,ACCB19D41F0,CUST000001,debit,-4665.77,Amazon transaction,Amazon,housing,2024-11-15T16:53:20.712932,completed,40456.37,
TXN219DD3A8BA,ACCB19D41F0,CUST000001,debit,-518.45,Delta Airlines transaction,Delta Airlines,groceries,2025-07-10T15:04:13.691901,failed,44603.69,insufficient_funds
TXN710DFE0911,ACCB19D41F0,CUST000001,credit,4629.19,Starbucks transaction,Starbucks,salary,2024-07-09T21:22:49.938140,failed,49751.33,insufficient_funds
TXN3C8EE5B28B,ACCB19D41F0,CUST000001,credit,4407.67,Amazon transaction,Amazon,salary,2023-08-06T19:23:01.515758,completed,49529.81,
TXND973ADEA05,ACCB19D41F0,CUST000001,debit,-4654.43,Starbucks transaction,Starbucks,housing,2024-02-14T10:27:21.765943,completed,40467.71,
TXN21C5A77CB8,ACCB19D41F0,CUST000001,credit,1915.8,Amazon transaction,Amazon,groceries,2023-06-26T21:30:31.174534,completed,47037.94,
TXN84CC3DF08F,ACCB19D41F0,CUST000001,credit,2304.21,Target transaction,Target,salary,2025-11-10T01:58:24.126003,completed,47426.35,
TXN3CADF72AA9,ACCEAF71DCA,CUST000002,debit,-4812.86,Target transaction,Target,online_shopping,2024-06-01T21:43:44.186102,completed,11744.63,
TXN2BCBA2521C,ACCEAF71DCA,CUST000002,debit,-3644.08,Uber transaction,Uber,groceries,2024-03-21T17:32:08.836262,completed,12913.41,
TXN251FA96495,ACCEAF71DCA,CUST000002,debit,-1929.05,Starbucks transaction,Starbucks,housing,2023-04-14T06:52:54.954504,completed,14628.44,
TXNFFB3D2900B,ACCEAF71DCA,CUST000002,debit,-2602.0,Delta Airlines transaction,Delta Airlines,travel,2024-12-22T14:03:59.966083,completed,13955.49,
TXN99041A85AF,ACCEAF71DCA,CUST000002,credit,3354.79,Uber transaction,Uber,groceries,2024-01-23T22:56:24.179904,completed,19912.28,
TXN1C19388AC6,ACCEAF71DCA,CUST000002,debit,-1654.35,Uber transaction,Uber,travel,2024-03-26T03:46:04.132514,completed,14903.14,
TXN13DE5B6EA9,ACCEAF71DCA,CUST000002,credit,1505.11,Target transaction,Target,travel,2025-08-03T21:37:47.089751,completed,18062.6,
TXN597581098D,ACCEAF71DCA,CUST000002,debit,-1481.8,Apple transaction,Apple,salary,2023-03-01T07:37:07.681661,completed,15075.69,
TXN032F35B279,ACCEAF71DCA,CUST000002,credit,3388.2,Apple transaction,Apple,entertainment,2024-12-16T12:48:36.833850,completed,19945.69,
TXN15D36CC05B,ACCEAF71DCA,CUST000002,debit,-4169.46,Target transaction,Target,housing,2024-12-08T13:36:13.910516,completed,12388.03,
TXN71617B3D4F,ACCEAF71DCA,CUST000002,credit,3035.27,Uber transaction,Uber,groceries,2023-03-08T08:54:03.869078,completed,19592.76,
TXN61E06F2736,ACCEAF71DCA,CUST000002,debit,-2558.31,Apple transaction,Apple,travel,2025-03-08T09:27:11.175243,completed,13999.18,
TXNE7756D0A6F,ACCEAF71DCA,CUST000002,debit,-3166.54,Uber transaction,Uber,online_shopping,2025-05-26T15:34:16.267604,completed,13390.95,
TXN65D6BBBD49,ACCEAF71DCA,CUST000002,credit,3365.61,Starbucks transaction,Starbucks,salary,2023-04-30T15:35:24.602616,completed,19923.1,
TXN66093D0941,ACCEAF71DCA,CUST000002,debit,-4919.76,Walmart transaction,Walmart,groceries,2023-07-29T18:59:13.545178,completed,11637.73,
TXN90A56B2101,ACCEAF71DCA,CUST000002,debit,-976.2,Netflix transaction,Netflix,groceries,2024-08-10T05:35:22.605950,completed,15581.29,
TXN6282515DC4,ACCEAF71DCA,CUST000002,debit,-3439.67,Walmart transaction,Walmart,groceries,2023-06-03T11:59:26.763542,completed,13117.82,
TXN1EC37FD7FF,ACCEAF71DCA,CUST000002,credit,3481.08,Airbnb transaction,Airbnb,online_shopping,2023-07-20T22:03:56.089759,completed,20038.57,
TXNEF05706A3C,ACCEAF71DCA,CUST000002,credit,611.19,Apple transaction,Apple,groceries,2024-05-21T13:51:56.295279,completed,17168.68,
TXNB47CF3B5B8,ACCEAF71DCA,CUST000002,credit,2979.28,Airbnb transaction,Airbnb,entertainment,2025-08-15T13:29:27.142709,completed,19536.77,
TXN919B86AB10,ACCEAF71DCA,CUST000002,credit,2136.57,Delta Airlines transaction,Delta Airlines,groceries,2023-03-24T13:06:53.519315,completed,18694.06,
TXNC75877F616,ACCEAF71DCA,CUST000002,credit,2376.0,Target transaction,Target,salary,2025-06-03T18:49:28.529577,completed,18933.49,
TXN252C6C428F,ACCEAF71DCA,CUST000002,debit,-3889.49,Airbnb transaction,Airbnb,travel,2025-07-26T06:48:35.762648,completed,12668.0,
TXN6F7ACF5F21,ACCEAF71DCA,CUST000002,debit,-3569.16,Starbucks transaction,Starbucks,housing,2023-04-18T05:02:28.957697,completed,12988.33,
TXN4FE102BC0C,ACCEAF71DCA,CUST000002,credit,407.49,Apple transaction,Apple,salary,2024-12-15T02:22:04.131412,completed,16964.98,
TXN37D4AFDE8A,ACCEAF71DCA,CUST000002,debit,-1073.69,Netflix transaction,Netflix,groceries,2024-08-14T22:39:03.647794,completed,15483.8,
TXN14C4F50CD3,ACC137E7DE3,CUST000002,debit,-1762.04,Netflix transaction,Netflix,groceries,2023-04-13T02:56:44.729200,completed,19026.67,
TXN96C67820E9,ACC137E7DE3,CUST000002,credit,4000.34,Starbucks transaction,Starbucks,groceries,2025-04-05T03:42:05.204293,completed,24789.05,
TXN1F19BBD9F1,ACC137E7DE3,CUST000002,debit,-149.98,Uber transaction,Uber,travel,2023-09-16T20:03:10.841174,completed,20638.73,
TXN054A05C034,ACC137E7DE3,CUST000002,debit,-829.4,Airbnb transaction,Airbnb,salary,2024-03-21T00:33:41.194767,failed,19959.31,insufficient_funds
TXNDA4853AB21,ACC137E7DE3,CUST000002,debit,-4535.11,Amazon transaction,Amazon,online_shopping,2024-06-11T02:05:57.207404,completed,16253.6,
TXND35323E8B0,ACC137E7DE3,CUST000002,debit,-2311.18,Amazon transaction,Amazon,housing,2025-08-04T19:00:44.478411,completed,18477.53,
TXNC84F330DC8,ACC137E7DE3,CUST000002,debit,-1637.59,Netflix transaction,Netflix,housing,2025-09-15T04:11:54.620222,completed,19151.12,
TXN6A329056A1,ACC137E7DE3,CUST000002,credit,1265.1,Walmart transaction,Walmart,groceries,2023-06-30T06:39:48.781556,completed,22053.81,
TXN3FA76EE659,ACC137E7DE3,CUST000002,debit,-4999.54,Uber transaction,Uber,salary,2023-01-03T08:38:36.035072,completed,15789.17,
TXNC67E1C44BF,ACC137E7DE3,CUST000002,credit,3260.51,Amazon transaction,Amazon,salary,2024-03-03T12:17:01.641868,completed,24049.22,
TXN75170F63ED,ACC137E7DE3,CUST000002,debit,-766.15,Apple transaction,Apple,groceries,2025-10-11T12:53:41.903301,completed,20022.56,
TXN0629028928,ACC137E7DE3,CUST000002,debit,-1093.73,Target transaction,Target,housing,2025-05-09T17:11:58.187578,completed,19694.98,
TXN5BB9DAA3AB,ACC137E7DE3,CUST000002,debit,-3740.89,Walmart transaction,Walmart,salary,2023-11-09T08:20:59.052210,failed,17047.82,insufficient_funds
TXN37FCB51003,ACC137E7DE3,CUST000002,debit,-133.26,Target transaction,Target,entertainment,2025-02-01T18:25:28.972604,completed,20655.45,
TXNFB4C15F388,ACC137E7DE3,CUST000002,credit,1986.29,Starbucks transaction,Starbucks,online_shopping,2025-03-10T21:40:47.070042,completed,22775.0,
TXNCD14BB7CF3,ACC137E7DE3,CUST000002,credit,1218.03,Target transaction,Target,travel,2025-05-07T18:44:27.486841,completed,22006.74,
TXN79BB02D571,ACC137E7DE3,CUST000002,debit,-4919.3,Amazon transaction,Amazon,housing,2024-12-25T17:58:41.081036,completed,15869.41,
TXN15141DCBF5,ACC137E7DE3,CUST000002,debit,-349.44,Uber transaction,Uber,online_shopping,2024-06-16T21:43:28.913793,completed,20439.27,
TXNA57767544F,ACC137E7DE3,CUST000002,credit,532.17,Uber transaction,Uber,travel,2023-07-27T22:30:57.426457,completed,21320.88,
TXN757671CDC7,ACC137E7DE3,CUST000002,debit,-769.19,Apple transaction,Apple,travel,2023-08-27T09:10:46.597168,completed,20019.52,
TXNBABE1F5B8A,ACC137E7DE3,CUST000002,debit,-3081.48,Delta Airlines transaction,Delta Airlines,groceries,2023-03-06T00:56:27.290227,completed,17707.23,
TXNA09D192D51,ACC137E7DE3,CUST000002,credit,2964.41,Uber transaction,Uber,salary,2025-03-16T15:10:23.010874,completed,23753.12,
TXNC61948DA2A,ACC137E7DE3,CUST000002,debit,-4408.75,Starbucks transaction,Starbucks,groceries,2023-03-08T17:57:53.922250,completed,16379.96,
TXNCCA2DD8AC5,ACC137E7DE3,CUST000002,debit,-1685.3,Airbnb transaction,Airbnb,housing,2023-12-10T09:32:03.842695,completed,19103.41,
TXN103C838864,ACC137E7DE3,CUST000002,debit,-3990.17,Uber transaction,Uber,housing,2023-02-24T21:44:26.243868,completed,16798.54,
TXN3938887AE4,ACC137E7DE3,CUST000002,credit,1384.96,Amazon transaction,Amazon,entertainment,2024-06-06T02:00:08.026642,failed,22173.67,insufficient_funds
TXNED595DFD67,ACC137E7DE3,CUST000002,debit,-3601.77,Airbnb transaction,Airbnb,entertainment,2025-10-03T17:29:37.673761,completed,17186.94,
TXNF2C739BB30,ACC137E7DE3,CUST000002,debit,-3231.28,Airbnb transaction,Airbnb,groceries,2024-08-04T13:59:41.405675,completed,17557.43,
TXND3E95A615F,ACC137E7DE3,CUST000002,debit,-1111.87,Starbucks transaction,Starbucks,housing,2023-03-04T06:47:43.278971,completed,19676.84,
TXNFC485ECE35,ACC137E7DE3,CUST000002,debit,-2769.6,Uber transaction,Uber,groceries,2024-07-10T01:43:58.443553,failed,18019.11,insufficient_funds
TXN33D3CB4AC5,ACC137E7DE3,CUST000002,debit,-1762.29,Airbnb transaction,Airbnb,housing,2025-07-21T05:16:55.529917,completed,19026.42,
TXN1E8F17083E,ACC137E7DE3,CUST000002,debit,-3607.82,Uber transaction,Uber,online_shopping,2023-03-17T00:44:26.244440,completed,17180.89,
TXN4A26F59CB8,ACC137E7DE3,CUST000002,credit,3452.37,Starbucks transaction,Starbucks,salary,2023-03-16T10:00:41.362254,completed,24241.08,
TXND3A8EFB507,ACC137E7DE3,CUST000002,debit,-2949.99,Delta Airlines transaction,Delta Airlines,entertainment,2025-08-01T16:36:31.059990,completed,17838.72,
TXN1C0E4640DB,ACC137E7DE3,CUST000002,debit,-974.62,Starbucks transaction,Starbucks,housing,2024-03-18T03:13:17.359120,completed,19814.09,
TXNB518BAF24C,ACC137E7DE3,CUST000002,debit,-2673.0,Target transaction,Target,online_shopping,2025-10-28T01:08:46.404890,failed,18115.71,insufficient_funds
TXN0F6B99467A,ACC137E7DE3,CUST000002,debit,-3488.6,Apple transaction,Apple,travel,2024-09-15T19:04:11.202353,completed,17300.11,
TXNEC5F84E26F,ACC137E7DE3,CUST000002,debit,-4364.24,Target transaction,Target,groceries,2024-09-25T21:59:34.192642,completed,16424.47,
TXND45F4785ED,ACC137E7DE3,CUST000002,debit,-4827.66,Target transaction,Target,groceries,2023-02-13T12:24:39.185844,completed,15961.05,
TXN564DBABA2C,ACC137E7DE3,CUST000002,debit,-2461.27,Amazon transaction,Amazon,salary,2023-03-31T18:31:26.027059,completed,18327.44,
TXNA6ED99D0C1,ACCF1B6A687,CUST000002,debit,-2083.79,Starbucks transaction,Starbucks,entertainment,2024-09-10T22:09:48.811042,completed,45372.49,
TXN71E6905013,ACCF1B6A687,CUST000002,credit,1490.28,Netflix transaction,Netflix,housing,2023-12-13T10:11:58.388166,completed,48946.56,
TXNFC5261E17B,ACCF1B6A687,CUST000002,debit,-4800.74,Walmart transaction,Walmart,salary,2023-10-13T12:55:20.929668,completed,42655.54,
TXND7CE04D772,ACCF1B6A687,CUST000002,debit,-410.53,Starbucks transaction,Starbucks,salary,2025-01-03T08:23:55.021024,completed,47045.75,
TXN940A333172,ACCF1B6A687,CUST000002,debit,-2045.55,Airbnb transaction,Airbnb,housing,2023-12-11T00:45:06.891364,completed,45410.73,
TXNBFA23D41C9,ACCF1B6A687,CUST000002,debit,-1417.18,Airbnb transaction,Airbnb,online_shopping,2023-10-18T20:20:57.801566,completed,46039.1,
TXNCB79E4E536,ACCF1B6A687,CUST000002,credit,3940.2,Starbucks transaction,Starbucks,groceries,2023-05-24T07:28:52.515514,completed,51396.48,
TXN2E8B2F82CE,ACCF1B6A687,CUST000002,debit,-749.2,Target transaction,Target,salary,2024-12-07T19:45:38.630352,completed,46707.08,
TXN0CA7F23385,ACCF1B6A687,CUST000002,debit,-1541.52,Target transaction,Target,groceries,2024-05-15T15:51:42.361745,completed,45914.76,
TXNC2B14CDE16,ACCF1B6A687,CUST000002,debit,-3500.17,Target transaction,Target,entertainment,2025-10-14T06:36:06.325995,completed,43956.11,
TXN51347CD220,ACCF1B6A687,CUST000002,debit,-2992.19,Netflix transaction,Netflix,travel,2025-10-21T15:05:49.466580,completed,44464.09,
TXNA518BAA6E4,ACCF1B6A687,CUST000002,debit,-461.18,Amazon transaction,Amazon,travel,2023-01-11T04:48:36.744905,completed,46995.1,
TXN86F25CCBEC,ACCF1B6A687,CUST000002,debit,-3816.73,Apple transaction,Apple,groceries,2024-11-11T04:03:54.843691,completed,43639.55,
TXND30A3884D3,ACCF1B6A687,CUST000002,debit,-1394.39,Netflix transaction,Netflix,travel,2024-09-08T11:28:22.826609,completed,46061.89,
TXN68819A1A21,ACCF1B6A687,CUST000002,credit,2352.7,Netflix transaction,Netflix,housing,2023-04-20T11:30:25.998257,completed,49808.98,
TXN4E701D6F7A,ACCF1B6A687,CUST000002,debit,-808.32,Netflix transaction,Netflix,travel,2024-08-11T17:01:55.703247,completed,46647.96,
TXN0FE713AF61,ACCF1B6A687,CUST000002,debit,-2005.26,Delta Airlines transaction,Delta Airlines,online_shopping,2024-07-07T22:38:59.134566,completed,45451.02,
TXN516E7B8B58,ACC294D0D93,CUST000003,debit,-4865.87,Starbucks transaction,Starbucks,travel,2023-10-01T05:38:29.568403,completed,26265.82,
TXN9D3FC18C27,ACC294D0D93,CUST000003,debit,-2763.5,Walmart transaction,Walmart,salary,2023-04-23T13:24:58.959124,failed,28368.19,insufficient_funds
TXNBFABC722CC,ACC294D0D93,CUST000003,credit,2309.93,Walmart transaction,Walmart,travel,2025-05-04T05:27:17.410974,completed,33441.62,
TXN99B7684107,ACC294D0D93,CUST000003,debit,-3584.43,Delta Airlines transaction,Delta Airlines,travel,2025-08-26T03:03:35.834877,completed,27547.26,
TXN6F1031574B,ACC294D0D93,CUST000003,credit,4901.32,Starbucks transaction,Starbucks,groceries,2024-03-20T23:35:52.097237,completed,36033.01,
TXN775F62C5CE,ACC294D0D93,CUST000003,debit,-4609.73,Delta Airlines transaction,Delta Airlines,travel,2024-11-10T14:59:04.152339,completed,26521.96,
TXN97052BA559,ACC294D0D93,CUST000003,credit,1384.86,Netflix transaction,Netflix,housing,2023-06-19T05:39:42.232933,failed,32516.55,insufficient_funds
TXNAE35A9792F,ACC294D0D93,CUST000003,debit,-4103.64,Target transaction,Target,travel,2025-10-15T05:16:23.132747,completed,27028.05,
TXN9A88691DB7,ACC294D0D93,CUST000003,debit,-4994.52,Airbnb transaction,Airbnb,salary,2025-08-04T17:50:15.707978,completed,26137.17,
TXND4DD48191E,ACC294D0D93,CUST000003,debit,-1665.54,Delta Airlines transaction,Delta Airlines,groceries,2025-12-04T22:41:40.363533,completed,29466.15,
TXNA47420161F,ACC294D0D93,CUST000003,debit,-947.32,Starbucks transaction,Starbucks,entertainment,2025-06-06T19:04:50.880121,completed,30184.37,
TXN7C58319E36,ACC294D0D93,CUST000003,credit,2056.82,Uber transaction,Uber,travel,2025-08-23T03:37:04.290788,completed,33188.51,
TXN7A31217D84,ACC294D0D93,CUST000003,credit,1909.25,Apple transaction,Apple,groceries,2023-01-28T03:23:08.126464,failed,33040.94,insufficient_funds
TXN74CFC73144,ACC294D0D93,CUST000003,debit,-4826.94,Uber transaction,Uber,online_shopping,2025-03-17T12:54:51.543805,completed,26304.75,
TXN917EDC063D,ACC294D0D93,CUST000003,debit,-2632.13,Airbnb transaction,Airbnb,online_shopping,2023-12-30T17:50:02.751476,completed,28499.56,
TXN2891BCC752,ACC294D0D93,CUST000003,debit,-3275.63,Apple transaction,Apple,online_shopping,2025-10-16T05:50:29.347260,completed,27856.06,
TXNE278F65C1E,ACC294D0D93,CUST000003,credit,1696.11,Netflix transaction,Netflix,travel,2025-05-28T10:44:22.024565,completed,32827.8,
TXN6AA91458B8,ACC294D0D93,CUST000003,debit,-3373.42,Delta Airlines transaction,Delta Airlines,groceries,2025-08-04T03:36:09.596529,failed,27758.27,insufficient_funds
TXN8350C35736,ACC294D0D93,CUST000003,debit,-4437.76,Airbnb transaction,Airbnb,entertainment,2025-06-06T18:29:31.342470,completed,26693.93,
TXN2A4F7DA74B,ACC294D0D93,CUST000003,debit,-3157.65,Target transaction,Target,salary,2023-10-20T03:39:14.573314,completed,27974.04,
TXNA720E0D0A4,ACC294D0D93,CUST000003,debit,-496.72,Walmart transaction,Walmart,groceries,2025-05-12T04:12:07.560289,completed,30634.97,
TXN931E1820A5,ACC294D0D93,CUST000003,debit,-149.59,Uber transaction,Uber,online_shopping,2023-04-29T08:45:11.022731,completed,30982.1,
TXNACB01C785D,ACC294D0D93,CUST000003,debit,-732.12,Delta Airlines transaction,Delta Airlines,groceries,2025-08-13T00:32:34.997179,completed,30399.57,
TXNC15BCDCFF1,ACC294D0D93,CUST000003,credit,854.07,Walmart transaction,Walmart,entertainment,2025-07-29T03:49:50.322565,completed,31985.76,
TXN1AB74A0616,ACC294D0D93,CUST000003,debit,-1207.94,Apple transaction,Apple,salary,2023-09-01T13:33:29.149560,completed,29923.75,
TXN0B00AB4B1B,ACC294D0D93,CUST000003,debit,-1280.36,Amazon transaction,Amazon,groceries,2025-06-13T03:53:45.582314,failed,29851.33,insufficient_funds
TXN1D8FA2E31D,ACC294D0D93,CUST000003,debit,-794.09,Airbnb transaction,Airbnb,housing,2024-05-19T00:46:08.426505,failed,30337.6,insufficient_funds
