ticket_id,customer_id,type,status,priority,description,amount_disputed,transaction_id,created_date,last_updated
TICK5589D3,CUST000444,transaction_dispute,open,medium,Unauthorized charge,238.89,TXN3C23AD190E,2024-07-15T06:42:43.906278,2025-01-21T14:53:55.254405
TICK7E5BD9,CUST000459,transaction_dispute,open,medium,Unauthorized charge,64.44,TXN522351C700,2024-08-22T09:40:31.080017,2025-06-08T23:24:42.365659
TICK7CD470,CUST000464,transaction_dispute,open,medium,Unauthorized charge,462.08,TXN476D90920A,2025-02-03T17:59:17.288940,2023-05-08T16:30:41.322859
TICK4C4D52,CUST000498,transaction_dispute,open,medium,Unauthorized charge,262.43,TXNDB54A65A04,2023-11-29T08:42:56.382486,2025-11-06T02:52:41.454027
TICK422BC3,CUST000537,transaction_dispute,open,medium,Unauthorized charge,225.34,TXN5DEE5A6BAB,2023-03-10T02:10:57.887858,2023-05-17T16:10:05.981379
TICK49A4A2,CUST000546,transaction_dispute,open,medium,Unauthorized charge,91.53,TXNC467E34A4B,2023-04-28T18:08:17.265756,2025-06-21T18:52:10.336142
TICK1B8893,CUST000551,transaction_dispute,open,medium,Unauthorized charge,277.14,TXN443DA46CC7,2023-04-20T19:56:47.526374,2024-12-13T05:25:35.432577
TICKC1371E,CUST000567,transaction_dispute,open,medium,Unauthorized charge,155.53,TXN8598781122,2025-11-12T19:36:36.841925,2023-02-19T14:26:38.848382
TICK2EF996,CUST000572,transaction_dispute,open,medium,Unauthorized charge,438.15,TXN5F84C22851,2024-01-20T14:34:15.731878,2024-08-14T09:27:00.727512
TICK33ACC1,CUST000590,transaction_dispute,open,medium,Unauthorized charge,131.14,TXN90BC01208A,2025-05-28T12:47:09.805014,2024-07-04T08:58:09.144613
TICKBE617E,CUST000591,transaction_dispute,open,medium,Unauthorized charge,449.42,TXN2E0D568153,2024-01-14T00:11:30.432578,2023-06-28T09:07:59.717301
TICK7AC56D,CUST000602,transaction_dispute,open,medium,Unauthorized charge,260.81,TXNE6BB17751C,2023-01-06T18:17:48.941244,2025-03-29T13:33:04.025114
TICK5A4B0F,CUST000646,transaction_dispute,open,medium,Unauthorized charge,37.52,TXND0B03C89E2,2023-09-11T02:50:54.058131,2024-02-15T20:08:23.982577
TICK276CF3,CUST000648,transaction_dispute,open,medium,Unauthorized charge,30.16,TXNA034DD2520,2025-10-07T01:00:11.419632,2025-09-08T22:40:29.061745
TICK53CC86,CUST000651,transaction_dispute,open,medium,Unauthorized charge,271.86,TXND4A58D2E7E,2025-01-08T08:38:22.943086,2025-04-29T17:58:07.587233
TICK5FC71A,CUST000652,transaction_dispute,open,medium,Unauthorized charge,290.16,TXNDB186E4659,2025-06-18T02:16:18.399234,2025-01-30T09:21:35.517887
TICK6F1640,CUST000654,transaction_dispute,open,medium,Unauthorized charge,209.39,TXNFB5927CA6C,2023-04-05T16:53:52.585232,2025-08-31T07:49:57.675467
TICKDA468E,CUST000655,transaction_dispute,open,medium,Unauthorized charge,291.72,TXNFB01CD9873,2025-10-07T18:18:07.226109,2023-10-06T14:38:36.648456
TICK2524E0,CUST000661,transaction_dispute,open,medium,Unauthorized charge,465.22,TXNBC7C838F26,2025-12-27T06:28:06.668923,2023-03-04T11:38:02.705148
TICK7F149B,CUST000664,transaction_dispute,open,medium,Unauthorized charge,340.08,TXN72473B771A,2023-12-21T20:53:45.196901,2023-02-19T11:20:09.419198
TICK9D5CFF,CUST000680,transaction_dispute,open,medium,Unauthorized charge,486.89,TXNB4876E3138,2024-10-29T18:33:06.728369,2023-07-08T15:08:28.940677
TICK2684E0,CUST000733,transaction_dispute,open,medium,Unauthorized charge,200.61,TXN76442213D1,2023-06-07T13:15:36.358696,2025-12-14T17:07:48.836895
TICKE26697,CUST000742,transaction_dispute,open,medium,Unauthorized charge,473.48,TXN599F2D63D1,2023-06-18T15:49:12.691435,2024-05-08T11:45:52.890655
TICKFBB3D9,CUST000762,transaction_dispute,open,medium,Unauthorized charge,455.05,TXN32E39F8C89,2024-02-11T23:10:39.934213,2025-09-17T13:25:08.968874
TICKA7C393,CUST000765,transaction_dispute,open,medium,Unauthorized charge,367.19,TXN421708E3FA,2024-01-04T18:20:41.646942,2023-04-02T20:00:11.056255
TICKD63268,CUST000784,transaction_dispute,open,medium,Unauthorized charge,258.56,TXN9EACC2E88F,2023-04-10T23:56:59.869630,2023-12-09T02:55:09.718395
TICKD8DB35,CUST000813,transaction_dispute,open,medium,Unauthorized charge,488.79,TXN331125664B,2023-09-07T17:16:56.893797,2023-09-12T19:21:11.948272
TICK4D9694,CUST000866,transaction_dispute,open,medium,Unauthorized charge,312.4,TXN4235D392C9,2023-01-30T06:05:27.837201,2025-12-23T21:00:24.658846
TICK87E747,CUST000917,transaction_dispute,open,medium,Unauthorized charge,59.08,TXN26DF2C0B5D,2023-09-28T10:28:18.459591,2023-01-16T12:05:15.532500
TICKF7DD26,CUST000936,transaction_dispute,open,medium,Unauthorized charge,86.9,TXND920FCF371,2024-08-04T13:41:45.474814,2025-03-11T11:31:10.078320
TICKDDEA7C,CUST000941,transaction_dispute,open,medium,Unauthorized charge,25.35,TXN32C7F08151,2025-08-20T07:33:21.056604,2025-04-21T13:40:32.152124
TICK38DB60,CUST000953,transaction_dispute,open,medium,Unauthorized charge,411.48,TXNABD2FCEA32,2024-02-07T00:18:37.982359,2023-09-20T23:54:32.691839
TICK8344AC,CUST000971,transaction_dispute,open,medium,Unauthorized charge,429.58,TXN39F6DE8BCE,2023-04-15T02:49:53.530859,2024-08-06T16:40:38.308974
TICK479A1C,CUST000984,transaction_dispute,open,medium,Unauthorized charge,368.52,TXN5D5BF58A0C,2023-02-14T08:31:18.762444,2023-07-03T07:08:57.352519
